sentiment,review_body,product_category
-1,"I wanted to love this top  but it unfortunately did not work for me. the material has a nice weight and feel to it  and while i love the pattern  the shape leaves something to be desired. the cap sleeves were a little tight on my arms  and the cut of the sleeves made my arms look big. the body of this shirt reminded me of a loose maternity top. for reference  i am 5'10"" 140 lbs and typically a size 6. i wear a small in retailer clothes  and got a small in this top. i think an xs would have been to",Blouses
-1,I ordered the coral/peach version in size 16. it ran small  especially compared to other size 14 or 16 maeve blouses i've purchased. very tight throughout the blouse. the product photos looked so nice compared to what arrived. the material was extremely cheap in quality. it wrinkled terribly. the bow pulled the material down which obscured the look of the eyelet. the idea of this was perfect for my style. unfortunately  the poor choice in material & poor fit made this a return for me.,Blouses
-1,The top red is more like orange. was disappointed and returned it,Blouses
-1,"This top did nothing for me. it billowed in the front and was not flattering. for reference  i am 5""4  115 pounds  and small chested. i ordered the smallest size the top came in (cannot recall if it was an xs or 0). i promptly returned it.",Blouses
-1,This is the worst shirt i have ever tried on from retailer. it is basically a big shaggy box from the front  and from the side it looks like a tent. it is also short.,Blouses
-1,I couldn't wait to get this top in the mail since they didn't have it at my local retailer  but i was so disappointed in both the quality and fit. the white is completely see-thru  i can't believe how sheer the material is - especially for the price. even as the shirt is lying down  i can see through both layers of it... the fit runs small  and short.,Blouses
-1,I ordered this because the reviews were outstanding. i am returning it. although the embroidery looks fine on screen  in person it looks cheap and tacky. moreover  the high ruffled neck goes a step too far -- into over-the-top victorian cutesy.  overpriced  to boot.  obviously  mine is a minority opinion.,Blouses
-1,This is a crop top but super boxy and wide. i expected it to be more fitted in the waist. since it sits out away a from the body a lot  it was not flattering. i also felt the stitching to be a bit matronly for me. too bad as i am having such a hard time finding tops and i'm willing to pay full price for something that works.,Blouses
-1,The neckline is very tight and itchy. the arm holes are deeply cut. the length is not as long in person as it is on the model in the picture. it's short-waisted. it's too bad because the embroidery is very pretty.,Blouses
0,"I so wanted this blouse to work. the lacework is beautiful  and it is a substantial and well made top. the neck fits well  which is not a given for this style top  and i really like the 3/4 length sleeves. but the top billows out like a tent on me in all directions  and it was an awkward length on me (not quite hip length  not quite tunic). wish this were cut a little straighter and longer. i'm 5'4""  120 lbs and tried a size s.",Blouses
0,The color and detailing on this shirt are pretty  but it is incredibly wide at the hips. as someone with a large chest  it was very unflattering.,Blouses
0,Ok so this top is as cute in person as it is online. runs very small as theres no stretch or give in fabric. i normally wear 12 and i couldnt even halfway get this on lol. i may consider a 14-16 but the stores didnt have this yet to try on. the ladies at the counter were crushing on this top though! if you can find your fit this top is great for layering!,Blouses
0,I loved the look of this shirt but full price was a little steep so i waited for it to go on sale and am glad i waited because only a l was left and it was perfect fit since i originally was thinkng of getting a small or medium which i usually do at retailer but this one was running really small compared to retailer other shirts. the fabric is great but when i looked at it carefully  the zipper construction is sewn poorly as well as the sewing at the buttons area...also  there were a lot of thread h,Blouses
0,This top is beautiful aesthetically  and i liked the tunic length. the bottom lace is cut out  so make sure things are adequately covered if you wear this with leggings. the fit is flattering.  however  i had some issues with the sizing. i usually wear an xs or a s in tops. the body of both sizes yielded a boxy fit for me  which is seen on the model.. i tried the top with a belt  which looked nice. however  the thing that stopped me from keeping the top was the shoulder/armpit/sleeve area. the s,Blouses
0,I'm a pretty solid 10/12 in this brand. i went with the 12 since some thought the top to run small...and i agree. while i can wear it and think it will actually stretch out with wear  it's tight in the shoulders and chest. for the record  those are 2 areas i never have problems with. i'm a 36b and it was flattening my chest. it was also quite short on me. i have a short torso and it was barely hitting below my belly button. the shirt felt more like a size 8 than 12.,Blouses
0,The shirt is great except for the arms!! the band around the arms are tight and it makes the arm holes gape weirdly unless you are standing with your arms straight down by your side.,Blouses
0,Based on previous reviews  i sized up to size 4 - i typically wear xs or s. while the length was okay  the body was way too wide! the neck was almost like a mock neck & higher than i expected which made it very uncomfortable for me! overall  i didn't find it flattering or anything special.,Blouses
0,This shirt is really cute but a little stiff. it does come with a slip  but the slip was tight  but the shirt fit  maybe even a little big. i used another cami under which was better. i think think the sizing is off in terms of slip vs. the actual shirt. i got it in the store with the 30% off  so it was a good deal. it does stretch out as you wear it  so it will get bigger and it did make me look a little bigger  but still cute on and for a summer shirt  it's thin  so it does work well in that r,Blouses
1,I saw the black in store and had to try on. it is very  very cute. i would say it fits a bit small. i tried my usual medium and while it fit  it was a little short. id take you could take your regular size or size up. i would not size down in this one. adding to my wish list and hoping it sticks around til sale time!,Blouses
1,Nice rendition of a summer halter that resembles denim. i bought my normal small but could have downsized to an xs. if your busty stay with your normal size as it is more tts. i like the blue plaid colors and the soft cotton material it's made of. it has a very nice flow with the cute peek a boo back neckline. the interior fabric lining is also a quite lovely chambray blue that nicely offsets the blue plaid.,Blouses
