review_id	sentiment	label_id	input_ids	review_body	date
2314	0	1	[0, 713, 16, 10, 11962, 299, 53, 5, 2564, 16, 14652, 4, 24, 1237, 650, 15, 299, 941, 198, 5, 11044, 8, 21764, 53, 172, 24, 34968, 874, 5, 13977, 11, 10, 1087, 1722, 219, 8, 29747, 24203, 169, 19, 169, 350, 203, 10199, 4, 1437, 939, 300, 258, 41, 3023, 4182, 8, 41, 37863, 4182, 4, 5, 37863, 4182, 2564, 357, 15, 2576, 53, 939, 115, 7533, 2999, 127, 3701, 149, 5, 21764, 4, 258, 32, 164, 124, 9574, 4, 13, 5135, 939, 437, 195, 108, 13156, 23246, 2107, 428, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	This is a cute top but the fit is problematic. it runs small on top especially around the bust and sleeves but then it flares below the waist in a billowy and unflattering way with way too much fabric.  i got both an xsp and an xxsp. the xxsp fit better on bottom but i could hardly pull my arms through the sleeves. both are going back unfortunately. for reference i'm 5' 103 lbs 32b.	2021-07-04T06:05:58Z
3639	-1	0	[0, 100, 770, 7, 101, 42, 3588, 1437, 53, 24, 95, 222, 45, 173, 13, 10, 11044, 906, 5120, 4, 5, 10199, 16, 1341, 7082, 1437, 473, 45, 295, 1588, 11, 23, 5, 13977, 8, 16, 45, 1605, 32645, 219, 1437, 98, 114, 47, 32, 157, 12, 1397, 9725, 1437, 110, 1781, 1045, 10, 828, 9, 10, 15263, 31, 61, 5, 1079, 9, 5, 3588, 95, 23835, 4, 25, 10, 898, 1437, 5, 7021, 606, 31, 5, 19559, 9, 110, 7050, 25, 4340, 7, 31, 110, 28097, 36, 281, 15, 5, 1421, 43, 1437, 8, 5, 34228, 37776, 23385, 1902, 817, 5, 356, 190, 55, 11789, 4, 15, 2735, 23739, 1437, 42, 74, 533, 28, 182, 34203, 1437, 53, 2, 1, 1, 1, 1, 1, 1, 1, 1]	I wanted to like this dress  but it just did not work for a bustier frame. the fabric is quite loose  does not nip in at the waist and is not particularly clingy  so if you are well-endowed  your assets create a bit of a shelf from which the rest of the dress just hangs. as a result  the swing comes from the apex of your chest as opposed to from your hips (as on the model)  and the asymmetrical hemline makes the look even more awkward. on smaller curves  this would likely be very flattering  but	2021-07-04T06:05:58Z
13263	1	2	[0, 100, 2299, 2854, 19, 5, 97, 34910, 54, 26, 42, 299, 16, 357, 14756, 13, 951, 6764, 8, 28701, 4, 5, 1521, 15, 5, 22990, 16, 2721, 8, 939, 657, 5, 2850, 1250, 15911, 23385, 4, 53, 24, 16, 5568, 2233, 219, 8, 3041, 219, 1437, 61, 399, 75, 2045, 7, 173, 15, 127, 5350, 11454, 809, 10301, 12, 10715, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I definitely agree with the other reviewers who said this top is better suited for someone tall and slender. the design on the lace is beautiful and i love the scalloped hem. but it is somewhat boxy and flowy  which didn't seem to work on my curvy body proportion-wise.	2021-07-04T06:05:58Z
9558	0	1	[0, 713, 299, 16, 9869, 1437, 53, 10698, 101, 10, 6792, 299, 480, 8, 939, 437, 182, 765, 12, 2739, 15346, 4, 939, 5328, 24, 19, 239, 12, 2739, 15346, 10844, 8, 21, 24447, 3923, 23, 24, 70, 183, 4, 939, 206, 24, 40, 1153, 173, 357, 19, 10, 16576, 4, 5, 8089, 32, 2721, 131, 24, 34, 10, 2579, 11299, 16464, 4, 5131, 114, 47, 218, 75, 1508, 5, 6792, 3724, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	This top is lovely  but fits like a crop top -- and i'm very short-waisted. i wore it with high-waisted jeans and was tugging at it all day. i think it will probably work better with a skirt. the colors are beautiful; it has a nice retro vibe. recommended if you don't mind the crop factor.	2021-07-04T06:05:58Z
8043	1	2	[0, 100, 1166, 5, 97, 6173, 137, 939, 2740, 42, 299, 8, 21, 10, 410, 2273, 59, 5, 10199, 1437, 53, 24, 18, 2051, 4, 5, 7974, 3195, 16, 10, 410, 35063, 1437, 53, 939, 64, 3568, 24, 19, 4520, 9304, 4, 187, 939, 421, 24, 7, 422, 739, 939, 2740, 10, 650, 4, 5, 3318, 11, 5, 760, 817, 24, 2564, 101, 10, 3366, 1437, 2704, 24, 1326, 2770, 31, 5, 124, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I read the other reviews before i ordered this top and was a little concerned about the fabric  but it's fine. the neutral color is a little bland  but i can wear it with bright pants. since i expected it to run large i ordered a small. the tie in the front makes it fit like a dream  plus it looks amazing from the back.	2021-07-04T06:05:58Z
8965	-1	0	[0, 10365, 650, 734, 350, 24186, 734, 2579, 7992, 10199, 4, 45, 127, 2674, 16259, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	Too small... too flare... nice thick fabric. not my favorite pant.	2021-07-04T06:05:58Z
6413	0	1	[0, 17425, 27941, 21, 5779, 11, 5, 2564, 9, 42, 2905, 182, 11962, 6399, 4, 95, 350, 739, 131, 350, 203, 10199, 13, 162, 4, 939, 437, 2333, 41, 3023, 29, 8, 89, 21, 95, 117, 3989, 7, 14, 1836, 13, 127, 650, 28072, 4, 939, 1979, 75, 33, 32945, 5, 1181, 5933, 114, 89, 56, 57, 10, 357, 2564, 62, 299, 4, 939, 206, 5, 8089, 32, 67, 10, 828, 22018, 254, 11, 621, 4, 657, 5, 4286, 600, 328, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	Definitely was disappointed in the fit of this potentially very cute shirt. just too large; too much fabric for me. i'm usually an xs and there was just no shape to that size for my small bod. i wouldn't have minded the longer length if there had been a better fit up top. i think the colors are also a bit duller in person. love the concept though!	2021-07-04T06:05:58Z
12803	0	1	[0, 243, 1516, 10, 410, 793, 7, 1325, 785, 81, 8, 81, 14, 109, 45, 914, 5, 1345, 50, 8194, 9, 5, 1152, 1437, 6215, 328, 5, 1345, 924, 10, 909, 16259, 19, 2440, 20585, 9572, 154, 4, 5, 9304, 14, 939, 300, 32, 909, 19, 2272, 8, 6219, 9572, 154, 4, 939, 465, 5, 3195, 4069, 11, 5, 1345, 7, 28, 99, 939, 770, 8, 187, 5, 2564, 21, 2579, 36, 41324, 765, 8, 939, 437, 129, 195, 108, 245, 113, 6764, 43, 939, 74, 33, 1682, 209, 4, 9574, 1437, 5, 9304, 14, 939, 300, 32, 9261, 593, 7, 5, 8194, 98, 939, 40, 28, 3357, 106, 4, 5, 856, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	"It gets a little old to receive products over and over that do not match the photo or description of the product  retailer! the photo shows a black pant with blue colored striping. the pants that i got are black with green and brown striping. i find the color combination in the photo to be what i wanted and since the fit was nice (albeit short and i'm only 5'5"" tall) i would have kept these. unfortunately  the pants that i got are nowhere close to the description so i will be returning them. the f"	2021-07-04T06:05:58Z
8550	-1	0	[0, 100, 399, 75, 33, 10, 936, 22535, 5, 2564, 9, 42, 3588, 4, 939, 1299, 19, 5, 2451, 40563, 15, 349, 526, 939, 115, 146, 24, 173, 4, 939, 2333, 185, 10, 739, 8, 190, 2740, 10, 4761, 25, 939, 56, 1166, 70, 5, 6173, 9, 24, 878, 380, 4, 77, 939, 300, 5, 3588, 1437, 939, 21, 1684, 5779, 4, 24, 16, 10, 2016, 1437, 24, 17414, 11424, 8939, 12, 3341, 10199, 1437, 45, 10, 7174, 33803, 261, 546, 18632, 101, 5, 2170, 924, 4, 24, 16, 67, 10, 1844, 909, 1437, 45, 5, 36838, 3195, 11, 204, 73, 245, 2356, 4, 53, 144, 7769, 1437, 939, 524, 195, 108, 398, 113, 8, 5, 3588, 16, 182, 765, 15, 162, 4, 24, 108, 2, 1, 1]	"I didn't have a problem anticipating the fit of this dress. i felt with the drawstrings on each side i could make it work. i usually take a large and even ordered a medium as i had read all the reviews of it running big. when i got the dress  i was beyond disappointed. it is a heavy  itchy polyester-like fabric  not a thin rayon looking texture like the picture shows. it is also a deep black  not the plum color in 4/5 photos. but most importantly  i am 5'8"" and the dress is very short on me. it'"	2021-07-04T06:05:58Z
13071	-1	0	[0, 713, 3588, 16, 95, 350, 3298, 4740, 1374, 4, 939, 524, 195, 108, 401, 113, 9680, 23246, 8, 10, 1836, 650, 21, 98, 29747, 24203, 4, 939, 64, 75, 213, 159, 11, 1836, 142, 5, 13977, 4617, 40, 120, 350, 239, 15, 162, 4, 24, 21, 416, 10, 410, 239, 15, 5, 650, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	"This dress is just too baggy overall. i am 5'6"" 140 lbs and a size small was so unflattering. i can't go down in size because the waist detail will get too high on me. it was already a little high on the small."	2021-07-04T06:05:58Z
