review_id	sentiment	label_id	input_ids	review_body	date
14316	-1	0	[0, 713, 3089, 11556, 16, 10, 10208, 328, 24, 1237, 98, 739, 1437, 24, 1326, 10861, 4, 5, 11962, 16, 2422, 1810, 8, 29139, 4, 51, 531, 33, 24, 19044, 15, 5, 1421, 4, 24, 16, 45, 34203, 23, 70, 4, 939, 269, 802, 42, 115, 28, 11962, 4, 45, 966, 5, 418, 1169, 328, 24, 18, 3214, 8, 4812, 12, 22605, 4, 13, 5135, 939, 524, 195, 108, 246, 8, 17072, 29882, 8, 3568, 10, 132, 50, 204, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	This blouse is a disappointment! it runs so large  it looks ridiculous. the cute is super wide and flared. they must have it pinned on the model. it is not flattering at all. i really thought this could be cute. not worth the money either! it's expensive and ill-fitting. for reference i am 5'3 and 123lbs and wear a 2 or 4.	2021-07-04T06:05:58Z
15776	-1	0	[0, 713, 6399, 16, 169, 350, 3041, 219, 8, 5, 6907, 3195, 16, 2778, 15158, 66, 12, 40, 2299, 28, 3357, 328, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	This shirt is way too flowy and the pink color is extremely washed out- will definitely be returning!	2021-07-04T06:05:58Z
19529	1	2	[0, 100, 2162, 42, 299, 11, 5, 28218, 6219, 8, 1104, 4, 939, 437, 12953, 98, 5, 3195, 23358, 16, 2422, 11962, 4, 9184, 19, 10, 795, 1430, 21155, 1437, 10610, 10844, 6387, 8, 28218, 9219, 9215, 15, 6545, 5582, 8, 24, 817, 215, 10, 11962, 983, 7490, 4, 5, 299, 16, 182, 1109, 8, 11708, 98, 10, 2205, 12213, 4, 24, 18, 10, 7082, 2564, 53, 45, 350, 203, 4, 109, 10, 410, 297, 326, 5858, 11, 5, 760, 8, 3825, 5, 21764, 8, 17377, 4882, 328, 2422, 847, 14186, 328, 1437, 5, 2564, 21, 372, 13, 162, 25, 10, 28701, 53, 7714, 1119, 1437, 650, 11044, 4, 1528, 7, 1836, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I bought this top in the caramel brown and white. i'm blonde so the color combo is super cute. matched with a lower rise faded  worn jeans rolled and caramel leather slip on gym shoes and it makes such a cute weekend outfit. the top is very light and sheer so a camp underneath. it's a loose fit but not too much. do a little quarter tuck in the front and roll the sleeves and voila! super cuteness!  the fit was great for me as a slender but athletic build  small bust. true to size.	2021-07-04T06:05:58Z
147	1	2	[0, 713, 29521, 523, 6056, 2543, 260, 16, 1622, 2770, 328, 5, 33585, 10698, 70, 10070, 8, 16499, 150, 1976, 10, 2216, 3588, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	This easel caftan is simply amazing! the silhouette fits all sizes and shapes while providing a unique dress.	2021-07-04T06:05:58Z
2422	1	2	[0, 713, 9540, 351, 75, 185, 162, 149, 10, 2569, 741, 40415, 2608, 1437, 53, 939, 40, 28, 2882, 7, 9802, 10, 410, 20310, 11, 645, 7, 185, 42, 4002, 66, 13, 10, 363, 15, 5, 1139, 4, 24, 18, 15391, 1437, 11875, 1437, 38889, 1295, 8, 7457, 4, 24, 1326, 5500, 11153, 19, 103, 7457, 6764, 10317, 8, 2705, 8089, 12213, 4, 25, 13, 39328, 1437, 939, 3805, 7, 11967, 19, 144, 22, 39478, 650, 113, 6173, 1437, 53, 42, 1928, 1237, 650, 4, 941, 114, 47, 269, 109, 697, 11, 10, 2569, 2147, 8, 10557, 7, 3568, 402, 6143, 12213, 4, 127, 11044, 20104, 16, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	"This coat won't take me through a cold boston winter  but i will be willing to sacrifice a little warmth in order to take this beauty out for a night on the town. it's chic  slim  elongating and bold. it looks fantastic paired with some bold tall boots and solid colors underneath. as for sizing  i tend to disagree with most ""runs small"" reviews  but this baby runs small. especially if you really do live in a cold climate and intend to wear something substantial underneath. my bust measurement is"	2021-07-04T06:05:58Z
10654	0	1	[0, 713, 21288, 3588, 16, 275, 10610, 30, 951, 81, 195, 108, 290, 845, 939, 56, 7, 1930, 10, 319, 7, 33, 24, 551, 62, 8, 24, 202, 630, 75, 356, 14, 372, 4, 98, 114, 47, 218, 75, 236, 7, 582, 81, 68, 2619, 683, 15992, 1437, 109, 45, 907, 42, 3588, 4, 1437, 1437, 1437, 5, 275, 233, 9, 5, 3588, 16, 5, 299, 4, 24, 21, 1528, 7, 1836, 15, 299, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	"This denim dress is best worn by someone over 5' 8"". i had to spend a lot to have it taken up and it still doesn't look that great. so if you don't want to pay over $200 once altered  do not buy this dress.    the best part of the dress is the top. it was true to size on top."	2021-07-04T06:05:58Z
16406	0	1	[0, 713, 3588, 34, 98, 203, 801, 12, 2638, 5, 6184, 8, 5, 5397, 1902, 4, 959, 1437, 129, 65, 526, 9, 5, 13977, 21, 4366, 19, 10, 4486, 579, 1671, 1618, 5, 97, 526, 10798, 4, 5, 4366, 526, 21, 2422, 34203, 150, 5, 97, 526, 969, 143, 410, 19666, 50, 8792, 4, 35088, 7, 224, 1437, 939, 437, 3357, 24, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	This dress has so much potential- loved the pattern and the neckline. however  only one side of the waist was gathered with a fake sash leaving the other side plain. the gathered side was super flattering while the other side showed any little lump or bump. needless to say  i'm returning it.	2021-07-04T06:05:58Z
19496	0	1	[0, 243, 473, 422, 739, 25, 144, 34910, 1581, 4, 939, 8565, 13, 5, 181, 43026, 8, 24, 21, 202, 182, 739, 8, 5, 169, 14, 5, 33827, 23, 5, 299, 478, 162, 24, 15713, 3804, 6269, 8, 156, 127, 7050, 356, 1307, 8, 939, 437, 129, 10, 741, 4946, 4, 24, 355, 10, 205, 80, 4946, 10070, 7, 127, 7050, 8, 24, 95, 1415, 8372, 4, 5, 5933, 9, 5, 4716, 1459, 21, 205, 13, 162, 23, 129, 195, 108, 306, 113, 98, 5, 5933, 222, 45, 36986, 53, 5, 22523, 21, 202, 269, 350, 1810, 4, 657, 5, 10199, 8, 5, 22990, 23, 5, 23385, 1902, 4, 24, 95, 938, 75, 13, 162, 53, 13, 167, 24, 1364, 13, 24, 16, 28, 2, 1, 1, 1]	"It does run large as most reviewers noted. i opted for the pxs and it was still very large and the way that the elastic at the top hit me it bunched funny and made my chest look huge and i'm only a b cup. it added a good two cup sizes to my chest and it just looked odd. the length of the petite was good for me at only 5'4"" so the length did not overwhelm but the width was still really too wide. love the fabric and the lace at the hemline. it just wasn't for me but for those it works for it is be"	2021-07-04T06:05:58Z
3196	0	1	[0, 47180, 16, 10, 410, 206, 8, 51, 422, 10, 828, 251, 101, 171, 97, 6215, 9304, 4, 3680, 1437, 10, 372, 432, 114, 47, 120, 106, 15, 1392, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	Material is a little think and they run a bit long like many other retailer pants. otherwise  a great deal if you get them on sale.	2021-07-04T06:05:58Z
16996	-1	0	[0, 100, 269, 770, 7, 657, 209, 1437, 939, 2162, 106, 11, 10, 6187, 142, 939, 956, 7, 3190, 127, 22877, 10844, 25, 1115, 4, 51, 58, 10, 410, 251, 8, 399, 75, 1341, 16531, 127, 32606, 53, 939, 11464, 19, 23385, 7059, 51, 74, 28, 2051, 4, 939, 21, 174, 51, 1979, 75, 4140, 66, 203, 4, 157, 1437, 51, 2564, 372, 23, 5, 13977, 53, 5, 5856, 32, 122, 1307, 15, 162, 8, 939, 64, 75, 120, 106, 7, 17652, 4, 2813, 939, 1240, 10, 410, 55, 15, 10, 430, 22877, 1236, 12001, 4, 350, 628, 7, 671, 1437, 98, 127, 2818, 7, 28, 164, 66, 10844, 32, 122, 22414, 183, 10844, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I really wanted to love these  i bought them in a rush because i needed to replace my skinny jeans asap. they were a little long and didn't quite hug my calves but i figured with hemming they would be fine. i was told they wouldn't stretch out much. well  they fit great at the waist but the legs are now huge on me and i can't get them to shrink. wish i spent a little more on a different skinny jean. too late to return  so my hoping to be going out jeans are now lazy day jeans.	2021-07-04T06:05:58Z
